model,annee,mise_en_circulation,kilometrage,energie,boite,nb_portes,nb_places,premiere_main,puissance,departement
394.0,2022,2022,12,2.0,2.0,5,5,0.0,90.0,78
146.0,2021,2021,9166,2.0,1.0,5,5,1.0,310.0,30
337.0,2019,2019,30710,0.0,2.0,5,5,0.0,110.0,82
4.0,2018,2018,126865,2.0,1.0,4,4,1.0,510.0,95
195.0,2022,2022,12960,2.0,2.0,5,5,0.0,125.0,42
146.0,2022,2022,11,2.0,1.0,5,5,0.0,150.0,69
104.0,2019,2019,72736,0.0,1.0,5,5,0.0,265.0,76
354.0,2019,2020,45680,0.0,1.0,5,5,1.0,130.0,68
359.0,2016,2017,107885,0.0,2.0,5,5,1.0,120.0,33
284.0,2020,2020,66698,0.0,1.0,5,5,1.0,170.0,95
479.0,2020,2020,69556,0.0,1.0,5,7,0.0,150.0,69
94.0,2018,2019,76680,0.0,1.0,5,3,1.0,69.0,38
38.0,2014,2014,177021,0.0,1.0,5,5,0.0,177.0,66
79.0,2011,2011,166389,0.0,2.0,2,4,1.0,184.0,95
461.0,2021,2021,15393,2.0,1.0,5,5,1.0,290.0,63
178.0,2019,2019,66389,0.0,2.0,4,3,1.0,95.0,24
456.0,2019,2019,38069,2.0,2.0,5,5,0.0,150.0,66
137.0,2020,2020,2837,2.0,2.0,5,5,1.0,131.0,35
397.0,2021,2021,34650,2.0,2.0,5,5,0.0,90.0,33
8.0,2020,2020,53537,2.0,1.0,5,5,1.0,280.0,77
231.0,2022,2022,11,2.0,2.0,5,5,0.0,120.0,78
467.0,2022,2022,10600,2.0,2.0,5,5,1.0,95.0,1
330.0,2019,2019,66388,0.0,2.0,5,5,1.0,120.0,27
206.0,2019,2019,128518,0.0,1.0,5,5,0.0,141.0,33
128.0,2017,2017,131225,0.0,2.0,5,2,0.0,99.0,24
134.0,2019,2019,126172,0.0,2.0,5,5,0.0,99.0,47
179.0,2018,2018,39379,0.0,2.0,5,5,1.0,120.0,78
475.0,2022,2022,15120,0.0,1.0,5,5,1.0,150.0,1
74.0,2018,2018,51961,0.0,1.0,5,5,0.0,116.0,80
427.0,2022,2022,17124,2.0,2.0,5,5,1.0,95.0,30
426.0,2022,2022,20619,0.0,1.0,5,5,1.0,150.0,31
327.0,2019,2019,63133,2.0,2.0,5,5,0.0,90.0,17
408.0,2018,2018,118741,0.0,2.0,5,5,1.0,130.0,31
342.0,2019,2020,40997,2.0,2.0,5,5,0.0,82.0,82
415.0,2020,2020,104380,0.0,1.0,5,5,1.0,161.0,35
121.0,2022,2022,4192,0.0,2.0,5,5,0.0,130.0,31
466.0,2020,2021,92645,0.0,1.0,5,5,1.0,120.0,31
451.0,2022,2022,14880,0.0,2.0,4,2,1.0,75.0,1
88.0,2018,2018,67678,2.0,1.0,2,4,0.0,450.0,66
100.0,2019,2019,92245,0.0,1.0,5,5,0.0,150.0,31
422.0,2019,2019,60270,2.0,2.0,5,5,0.0,150.0,30
475.0,2021,2021,11,0.0,1.0,5,5,0.0,150.0,81
471.0,2022,2022,11,2.0,1.0,5,5,0.0,110.0,38
27.0,2017,2017,112138,0.0,2.0,5,5,1.0,150.0,24
105.0,2016,2016,140970,0.0,1.0,5,5,0.0,190.0,24
394.0,2019,2019,38448,2.0,2.0,5,5,1.0,90.0,77
221.0,2020,2020,9628,0.0,2.0,5,5,1.0,120.0,82
32.0,2022,2022,26813,0.0,1.0,5,5,1.0,204.0,31
134.0,2020,2020,67397,0.0,2.0,5,5,1.0,100.0,24
38.0,2015,2015,143470,0.0,1.0,5,5,1.0,190.0,31
343.0,2021,2021,22451,2.0,1.0,5,5,0.0,130.0,33
423.0,2020,2020,35670,2.0,2.0,5,5,1.0,80.0,69
456.0,2022,2022,28090,0.0,1.0,5,5,0.0,150.0,76
65.0,2010,2010,179331,0.0,2.0,5,3,0.0,122.0,95
404.0,2017,2017,85215,0.0,2.0,4,2,1.0,90.0,24
168.0,2021,2021,31503,2.0,2.0,5,5,0.0,120.0,34
475.0,2021,2021,49735,0.0,1.0,5,5,1.0,150.0,31
100.0,2019,2019,50630,0.0,1.0,5,5,0.0,150.0,13
181.0,2019,2019,112041,0.0,2.0,5,5,1.0,120.0,78
337.0,2018,2018,101387,0.0,2.0,5,5,0.0,136.0,84
337.0,2018,2018,55412,2.0,1.0,5,5,0.0,140.0,66
394.0,2022,2022,11,2.0,2.0,5,5,0.0,90.0,69
132.0,2022,2022,121,0.0,1.0,5,5,0.0,131.0,24
175.0,2019,2019,28112,0.0,2.0,4,2,0.0,80.0,24
105.0,2016,2016,153846,0.0,1.0,5,5,0.0,258.0,61
330.0,2018,2018,35367,2.0,1.0,5,5,1.0,131.0,7
390.0,2022,2022,20024,1.0,1.0,4,5,1.0,680.0,69
59.0,2011,2011,119400,2.0,1.0,2,4,0.0,272.0,74
341.0,2018,2018,64065,0.0,2.0,5,5,0.0,99.0,82
339.0,2021,2021,17054,2.0,2.0,5,4,0.0,72.0,33
